;0
ABEV3.SA/EGIE3.SA;9.299113941981657e-14
BBSE3.SA/CMIG4.SA;7.952399996109458e-14
RAIL3.SA/VBBR3.SA;7.10829371709451e-14
BBDC3.SA/EQTL3.SA;6.738456093027118e-14
CIEL3.SA/ELET3.SA;6.734754220234437e-14
CIEL3.SA/EGIE3.SA;5.494548907655425e-14
DXCO3.SA/B3SA3.SA;4.8930874136559124e-14
ALPA4.SA/EZTC3.SA;4.771795006114528e-14
CSAN3.SA/UGPA3.SA;4.529303025842778e-14
CMIG4.SA/RADL3.SA;4.4826809771731854e-14
WEGE3.SA/UGPA3.SA;4.322460629441888e-14
VIVT3.SA/ELET6.SA;4.286550498236452e-14
ALPA4.SA/CYRE3.SA;4.2318013378445443e-14
VIVT3.SA/TIMS3.SA;3.004053847040569e-14
BBDC3.SA/ELET6.SA;2.7897260510782035e-14
JBSS3.SA/BRFS3.SA;2.5306549255232555e-14
BBDC4.SA/BBSE3.SA;2.510512820850727e-14
PCAR3.SA/MULT3.SA;2.464641582185581e-14
DXCO3.SA/WEGE3.SA;2.2490251102972626e-14
ITSA4.SA/ITUB4.SA;1.767019487002898e-14
BBDC4.SA/CPLE6.SA;1.7273885094667638e-14
VIVT3.SA/EQTL3.SA;1.4626448042640537e-14
BBDC3.SA/SBSP3.SA;1.3928630960473396e-14
PETZ3.SA/CYRE3.SA;7.78779879397496e-15
ITUB4.SA/EGIE3.SA;7.367339262254451e-15
VIVT3.SA/CPFE3.SA;7.209447238688566e-15
CIEL3.SA/CPLE6.SA;6.909847450079984e-15
ITSA4.SA/CPFE3.SA;6.621616114172975e-15
PCAR3.SA/ENEV3.SA;6.4931999901385925e-15
ITSA4.SA/BBAS3.SA;6.238403585758553e-15
VIVT3.SA/BBSE3.SA;5.6339375811918346e-15
ITSA4.SA/SBSP3.SA;5.39536482236703e-15
BBAS3.SA/ABEV3.SA;4.956664012610926e-15
MULT3.SA/VBBR3.SA;4.453347717990001e-15
SOMA3.SA/EZTC3.SA;4.166284864033729e-15
RAIL3.SA/FLRY3.SA;4.122187905283197e-15
SOMA3.SA/ARZZ3.SA;3.683521400361456e-15
ITUB4.SA/ABEV3.SA;3.2336190033943873e-15
CIEL3.SA/ABEV3.SA;3.199390401995841e-15
CRFB3.SA/FLRY3.SA;2.413251923869073e-15
RAIL3.SA/ALSO3.SA;2.3875904254572937e-15
BBDC4.SA/ABEV3.SA;2.312286231831071e-15
CPLE6.SA/ABEV3.SA;2.134757019932516e-15
TIMS3.SA/ELET3.SA;1.6114024668783958e-15
CIEL3.SA/RADL3.SA;1.4767232753528964e-15
ENEV3.SA/TOTS3.SA;1.136291098851618e-15
JBSS3.SA/BEEF3.SA;1.0046563554967874e-15
RENT3.SA/VBBR3.SA;9.670460809354468e-16
BBDC4.SA/EQTL3.SA;7.864966142447788e-16
DXCO3.SA/ALSO3.SA;7.361599872882975e-16
BBAS3.SA/RADL3.SA;7.331036277168079e-16
EGIE3.SA/RADL3.SA;6.342645707115653e-16
USIM5.SA/CSNA3.SA;5.853474121560046e-16
VIVT3.SA/BBDC3.SA;5.388967606032892e-16
BBDC4.SA/CMIG4.SA;5.121426955686701e-16
