Ativo 1;Ativo 2;Valor-p
AZUL4.SA;ENEV3.SA;0.0
AZUL4.SA;EGIE3.SA;0.0
AZUL4.SA;EQTL3.SA;0.0
AZUL4.SA;EZTC3.SA;0.0
AZUL4.SA;GOLL4.SA;0.0
AZUL4.SA;HYPE3.SA;0.0
AZUL4.SA;IGTI11.SA;0.0
AZUL4.SA;IRBR3.SA;0.0
AZUL4.SA;ITUB4.SA;0.0
AZUL4.SA;JBSS3.SA;0.0
AZUL4.SA;LWSA3.SA;0.0
AZUL4.SA;LREN3.SA;0.0
AZUL4.SA;MGLU3.SA;0.0
AZUL4.SA;BEEF3.SA;0.0
AZUL4.SA;MULT3.SA;0.0
AZUL4.SA;PETR3.SA;0.0
AZUL4.SA;PETR4.SA;0.0
AZUL4.SA;PRIO3.SA;0.0
AZUL4.SA;RDOR3.SA;0.0
AZUL4.SA;RAIL3.SA;0.0
AZUL4.SA;SANB11.SA;0.0
AZUL4.SA;SMTO3.SA;0.0
AZUL4.SA;CSNA3.SA;0.0
AZUL4.SA;SLCE3.SA;0.0
AZUL4.SA;SUZB3.SA;0.0
AZUL4.SA;TIMS3.SA;0.0
AZUL4.SA;TOTS3.SA;0.0
AZUL4.SA;UGPA3.SA;0.0
AZUL4.SA;VALE3.SA;0.0
AZUL4.SA;VIIA3.SA;0.0
AZUL4.SA;VBBR3.SA;0.0
AZUL4.SA;WEGE3.SA;0.0
AZUL4.SA;YDUQ3.SA;0.0
B3SA3.SA;BBSE3.SA;0.0
B3SA3.SA;BBDC4.SA;0.0
B3SA3.SA;BRAP4.SA;0.0
B3SA3.SA;BBAS3.SA;0.0
B3SA3.SA;BRFS3.SA;0.0
B3SA3.SA;CRFB3.SA;0.0
B3SA3.SA;CIEL3.SA;0.0
B3SA3.SA;COGN3.SA;0.0
B3SA3.SA;CMIN3.SA;0.0
B3SA3.SA;ELET3.SA;0.0
B3SA3.SA;ELET6.SA;0.0
B3SA3.SA;EMBR3.SA;0.0
B3SA3.SA;ENEV3.SA;0.0
B3SA3.SA;EGIE3.SA;0.0
B3SA3.SA;EQTL3.SA;0.0
B3SA3.SA;EZTC3.SA;0.0
B3SA3.SA;GOLL4.SA;0.0
B3SA3.SA;HAPV3.SA;0.0
B3SA3.SA;IRBR3.SA;0.0
B3SA3.SA;ITSA4.SA;0.0
B3SA3.SA;ITUB4.SA;0.0
B3SA3.SA;JBSS3.SA;0.0
B3SA3.SA;LWSA3.SA;0.0
B3SA3.SA;LREN3.SA;0.0
